Level 1,Level 2,Level 3
Procurement,PO,PO-MATERIALS
Procurement,PO,PO-MATERIALS ISSUE
Procurement,PO,PO-MISCELLANEOUS DIRECT COSTS
Procurement,PO,PO-NON PO
Procurement,PO,PO-NON PO FREIGHT
Procurement,PO,PO-NONPROFESSIONAL SERVICES
Procurement,PO,PO-OFFICE SUPPLIES
Procurement,PO,PO-PURCHASED PLANT&FACILITIES
Procurement,PO,PO-PURCHASED TOOLS/EQUIP&FURN
Procurement,PO,PO-QA FREIGHT ISSUE
Procurement,PO,PO-RENT/LEASE PLANT&FACILITIES
Procurement,PO,PO-RENT/LEASE TOOLS/EQUIP&FURN
Procurement,PO,PO-SALES TAX
Procurement,PO,PO-STORES ISSUES
Procurement,PO,PO-USE TAX
Procurement,PO,PROCUREMENT-PO
Procurement,RSA,PROCUREMENT-RSA
Procurement,PS,PROCUREMENT-SUBCONTRACTS
Procurement,PS,PR-RESEARCH SUPPORT AGREEMENT
Procurement,PS,PS-1260 TRANSFER
Procurement,PS,PS-CONSULTING&PROF SERVICES
Procurement,PS,PS-DESKTOP NETWORK SERVICES
Procurement,PS,PS-FILE SERVICE
Procurement,PS,PS-FLIGHT HARDWARE&SOFTWARE
Procurement,PS,PS-FREIGHT
Procurement,PS,PS-GROUND SUPP HARD/SOFTWARE
Procurement,PS,PS-INSTRUMENT DEVELOPMENT
Procurement,PS,PS-MATERIALS
Procurement,PS,PS-MESSAGING
Procurement,PS,PS-MISCELLANEOUS DIRECT COSTS
Procurement,PS,PS-NETWORK SERVICES
Procurement,PS,PS-OFFICE SUPPLIES
Procurement,PS,PS-PURCHASED PLANT&FACILITIES
Procurement,PS,PS-PURCHASED TOOLS/EQUIP&FURN
Procurement,PS,PS-RENT/LEASE PLANT&FACILITIES
Procurement,PS,PS-RENT/LEASE TOOLS/EQUIP&FURN
Procurement,PS,PS-RESEARCH & DEVELOPMENT
Procurement,PS,PS-SCIENCE CONTRACTS
Procurement,PS,PS-SECRETARIAL TRAVEL DIST
Procurement,PS,PS-SUPPORT CONTRACTS
Procurement,PS,PS-SYSTEM CONTRACTS
Procurement,PS,PS-TELEPHONE CHARGES
Procurement,PS,RE-RESERVES
Procurement,PS,RESERVES
Procurement,PS,SERVICES
Procurement,Travel,TR-1260 TRANSFER
Procurement,Travel,TRAVEL
Procurement,Travel,TR-CONFERENCE DOMESTIC
Procurement,Travel,TR-CONFERENCE DOMESTIC AP
Procurement,Travel,TR-CONFERENCE FOREIGN
Procurement,Travel,TR-CONFERENCE FOREIGN AP
Procurement,Travel,TR-GS MANAGEMENT TRAVEL
Procurement,Travel,TR-OTHER REIMBURSEMENTS
Procurement,Travel,TR-OTHER REIMBURSEMENTS AP
Procurement,Travel,TR-PROGRAMMATIC DOMESTIC
Procurement,Travel,TR-PROGRAMMATIC FOREIGN
Procurement,Travel,TR-RECRUITMENT
Procurement,Travel,TR-RECRUITMENT AP
Procurement,Travel,TR-RELOCATION
Procurement,Travel,TR-RELOCATION AP
Procurement,Travel,TR-SECRETARIAL TRAVEL DIST
Procurement,Travel,TR-TRAINING DOMESTIC
Procurement,Travel,TR-TRAINING DOMESTIC AP
Procurement,Travel,TR-TRAINING FOREIGN
Procurement,Travel,TR-TRAINING FOREIGN AP
Procurement,Travel,TR-TRAVEL DOMESTIC AP
Procurement,Travel,TR-TRAVEL FOREIGN AP
Procurement,YE,YE-YEAR END ADJ
Services,Services,SV-1260 TRANSFER
Services,Services,SV-AMMOS USER DEVICES
Services,Services,SV-CHEMICAL ANALYSIS LAB
Services,Services,SV-CLEANROOM JANITORIAL
Services,Services,SV-COMM & SECURITY MAINTENANCE
Services,Services,SV-COMPUTER AIDED ENGINEERING
Services,Services,SV-COMPUTER RESOURCES LAB
Services,Services,SV-CONVERSION
Services,Services,SV-CRYOGENICS SUPPLY SERVICES
Services,Services,SV-DESIGN & DRAFTING SERVICES
Services,Services,SV-DESIGN SUPPORT
Services,Services,SV-DISTRIBUTION
Services,Services,SV-DISTRIBUTION COST
Services,Services,SV-DISTRIBUTION OPS
Services,Services,SV-DOCUMENTATION SERVICES
Services,Services,SV-DUPLICATING & MICROGRAPHICS
Services,Services,SV-DUPLICATING/REPROGRAPHICS
Services,Services,SV-EIC LOAN PAYBACK
Services,Services,SV-EIC USAGE FUND
Services,Services,SV-EIS TOOL SERVICE
Services,Services,SV-ELECTRONIC FABRICATION
Services,Services,SV-ELECTRONIC PARTS & ENGINEER
Services,Services,SV-ELECTRONIC PARTS ENG
Services,Services,SV-ENGINEERING SUPPORT
Services,Services,SV-ENGR STUDIES AND TECH FAC
Services,Services,SV-ENVIRONMENTAL TEST LAB(ETL)
Services,Services,SV-FACILITIES MAINTENANCE
Services,Services,SV-FACILITIES SERVICES
Services,Services,SV-FLIGHT ELECTRONIC PARTS
Services,Services,SV-FLIGHT FASTENERS
Services,Services,SV-FLIGHT HARDWARE LOGISTICS
Services,Services,SV-FLIGHT TEST BED
Services,Services,SV-GRAPHIC SERVICES
Services,Services,SV-GRAPHICS VENDING SERVICES
Services,Services,SV-H/R CONNECTORS&WIRE COMPNTS
Services,Services,SV-HARD/SOFTWARE ACQUISITION
Services,Services,SV-HAZARDOUS WASTE MGMT
Services,Services,SV-HI REL CONNECTORS & WIRES
Services,Services,SV-INFO SYS & INFO TECH SUPP
Services,Services,SV-INFO SYSTEMS DEV
Services,Services,SV-INVEN ELECTRONIC PARTS
Services,Services,SV-INVEN FLIGHT FASTENERS
Services,Services,SV-INVEN GENERAL INVENTORY
Services,Services,SV-INVEN GENERAL STORES
Services,Services,SV-INVEN GENERAL SUPPLIES
Services,Services,SV-INVEN METAL STORES
Services,Services,SV-INVEN METAL/FASTENERS
Services,Services,SV-INVEN WIRES & CONNECTORS
Services,Services,SV-INVENTORY EXPENSE
Services,Services,SV-IT EDUCATION & BOOKSTORE
Services,Services,SV-IT EDUCATIONAL SERVICES
Services,Services,SV-MATERIAL MOVEMENT
Services,Services,SV-MATERIALS LABORATORY
Services,Services,SV-MEASUREMENT SERVICES
Services,Services,SV-MEASUREMENT SYSTEMS
Services,Services,SV-MEASUREMENT/INSTRUMENT SVCS
Services,Services,SV-MECHANICAL FAB & TECH SUPT
Services,Services,SV-MESA ANTENNA RANGE FACILITY
Services,Services,SV-METAL FABRICATION
Services,Services,SV-METAL STORES
Services,Services,SV-METROLOGY & INSTRUMENT SVCS
Services,Services,SV-MICROCOMPUTER MAINTENANCE
Services,Services,SV-MICRODEVICES LAB (MDL)
Services,Services,SV-MINICOMPUTER MAINTENANCE
Services,Services,SV-MISSION DESIGN/NAV SVCS
Services,Services,"SV-PAGERS,CELLULAR,FAX"
Services,Services,SV-PARTS ENGINEERING
Services,Services,SV-PHOTO AND 274 VENDING
Services,Services,SV-PHOTO SERVICES
Services,Services,SV-PRODUCT DESIGN CENTER/HUB
Services,Services,SV-PROJECT SUPPLY-507
Services,Services,SV-QUALITY ASSURANCE
Services,Services,SV-RADIATION TEST/FAIL ANLYSIS
Services,Services,SV-RECYCLING
Services,Services,SV-RELIABILITY ENGINEERING
Services,Services,SV-SHIPPING
Services,Services,SV-TECH FACILITIES MANAGEMENT
Services,Services,SV-UNISYS 2200 SERIES MSS
Services,Services,SV-UNIX SOFTWARE ACQUISITION
Services,Services,SV-UNIX SYSTEM ADMINISTRATION
Services,Services,SV-USAGES FOR DISTRIBUTION
Services,Services,SV-VEHICLE OPERATIONS
Services,Services,SV-WORKMANSHIP TRAINING
Services,Services,SV-XTRNL USAGES/DISTRIBUTION
Services,Services,"SV-DOCUMENTATION,PHOTO&REPR0"
Services,Services,SV-INVEN TECHNICAL INVENTORY
